item,condition,sentence,Group,quantifier,noun,category
1,1,Some salmons are fish.,1,Some,salmons,fish
2,1,Some cods are fish.,2,Some,cods,fish
3,1,Some sharks are fish.,3,Some,sharks,fish
4,1,Some tunas are fish.,4,Some,tunas,fish
5,1,Some piranhas are fish.,5,Some,piranhas,fish
6,1,Some trouts are fish.,6,Some,trouts,fish
7,1,Some anchovies are fish.,1,Some,anchovies,fish
8,1,Some haddocks are fish.,2,Some,haddocks,fish
9,1,Some carps are fish.,3,Some,carps,fish
10,1,Some sparrows are birds.,4,Some,sparrows,birds
11,1,Some parrots are birds.,5,Some,parrots,birds
12,1,Some vultures are birds.,6,Some,vultures,birds
13,1,Some pigeons are birds.,1,Some,pigeons,birds
14,1,Some canaries are birds.,2,Some,canaries,birds
15,1,Some peacocks are birds.,3,Some,peacocks,birds
16,1,Some owls are birds.,4,Some,owls,birds
17,1,Some crows are birds.,5,Some,crows,birds
18,1,Some eagles are birds.,6,Some,eagles,birds
19,1,Some turtles are reptiles.,1,Some,turtles,reptiles
20,1,Some newts are reptiles.,2,Some,newts,reptiles
21,1,Some crocodiles are reptiles.,3,Some,crocodiles,reptiles
22,1,Some salamanders are reptiles.,4,Some,salamanders,reptiles
23,1,Some iguanas are reptiles.,5,Some,iguanas,reptiles
24,1,Some snakes are reptiles.,6,Some,snakes,reptiles
25,1,Some lizards are reptiles.,1,Some,lizards,reptiles
26,1,Some frogs are reptiles.,2,Some,frogs,reptiles
27,1,Some alligators are reptiles.,3,Some,alligators,reptiles
28,1,Some crabs are shellfish.,4,Some,crabs,shellfish
29,1,Some oysters are shellfish.,5,Some,oysters,shellfish
30,1,Some clams are shellfish.,6,Some,clams,shellfish
31,1,Some lobsters are shellfish.,1,Some,lobsters,shellfish
32,1,Some mussels are shellfish.,2,Some,mussels,shellfish
33,1,Some shrimps are shellfish.,3,Some,shrimps,shellfish
34,1,Some barnacles are shellfish.,4,Some,barnacles,shellfish
35,1,Some scallops are shellfish.,5,Some,scallops,shellfish
36,1,Some prawns are shellfish.,6,Some,prawns,shellfish
37,1,Some dogs are mammals.,1,Some,dogs,mammals
38,1,Some bears are mammals.,2,Some,bears,mammals
39,1,Some horses are mammals.,3,Some,horses,mammals
40,1,Some cats are mammals.,4,Some,cats,mammals
41,1,Some sheeps are mammals.,5,Some,sheeps,mammals
42,1,Some pigs are mammals.,6,Some,pigs,mammals
43,1,Some elephants are mammals.,1,Some,elephants,mammals
44,1,Some monkeys are mammals.,2,Some,monkeys,mammals
45,1,Some cows are mammals.,3,Some,cows,mammals
46,1,Some beetles are insects.,4,Some,beetles,insects
47,1,Some mosquitoes are insects.,5,Some,mosquitoes,insects
48,1,Some butterflies are insects.,6,Some,butterflies,insects
49,1,Some flies are insects.,1,Some,flies,insects
50,1,Some ants are insects.,2,Some,ants,insects
51,1,Some cockroaches are insects.,3,Some,cockroaches,insects
52,1,Some bees are insects.,4,Some,bees,insects
53,1,Some wasps are insects.,5,Some,wasps,insects
54,1,Some caterpillars are insects.,6,Some,caterpillars,insects
1,2,Some fish are salmons.,2,Some,salmons,fish
2,2,Some fish are cods.,3,Some,cods,fish
3,2,Some fish are sharks.,4,Some,sharks,fish
4,2,Some fish are tunas.,5,Some,tunas,fish
5,2,Some fish are piranhas.,6,Some,piranhas,fish
6,2,Some fish are trouts.,1,Some,trouts,fish
7,2,Some fish are anchovies.,2,Some,anchovies,fish
8,2,Some fish are haddocks.,3,Some,haddocks,fish
9,2,Some fish are carps.,4,Some,carps,fish
10,2,Some birds are sparrows.,5,Some,sparrows,birds
11,2,Some birds are parrots.,6,Some,parrots,birds
12,2,Some birds are vultures.,1,Some,vultures,birds
13,2,Some birds are pigeons.,2,Some,pigeons,birds
14,2,Some birds are canaries.,3,Some,canaries,birds
15,2,Some birds are peacocks.,4,Some,peacocks,birds
16,2,Some birds are owls.,5,Some,owls,birds
17,2,Some birds are crows.,6,Some,crows,birds
18,2,Some birds are eagles.,1,Some,eagles,birds
19,2,Some reptiles are turtles.,2,Some,turtles,reptiles
20,2,Some reptiles are newts.,3,Some,newts,reptiles
21,2,Some reptiles are crocodiles.,4,Some,crocodiles,reptiles
22,2,Some reptiles are salamanders.,5,Some,salamanders,reptiles
